Customer_ID,Customer_Name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Sum,Segment
CUST-00001,Allison Hill,88,4,64615.8,3,2,3,323,8,Potential Loyalists
CUST-00002,Noah Rhodes,39,19,348856.14,4,5,5,455,14,Champions
CUST-00003,Angie Henderson,70,5,45025.64,3,3,2,332,8,Needs Attention
CUST-00004,Daniel Wagner,648,1,13046.74,1,1,1,111,3,Lost Customers
CUST-00006,Connie Lawrence,155,5,43136.36,2,3,2,232,7,Needs Attention
CUST-00007,Abigail Shaffer,44,2,149170.21,4,1,4,414,9,New Customers
CUST-00008,Gina Moore,49,4,38761.11,3,2,2,322,7,Needs Attention
CUST-00009,Gabrielle Davis,36,7,62806.3,4,3,3,433,10,Loyal Customers
CUST-00010,Ryan Munoz,14,5,94242.23,5,3,3,533,11,Loyal Customers
CUST-00011,Monica Herrera,79,4,122922.16,3,2,4,324,9,Potential Loyalists
CUST-00012,Jamie Arnold,21,12,481137.3,4,4,5,445,13,Champions
CUST-00013,Lisa Hensley,25,2,19441.399999999998,4,1,1,411,6,New Customers
CUST-00014,Michele Williams,8,4,37749.68,5,2,2,522,9,New Customers
CUST-00015,Dylan Miller,17,6,43512.92,5,3,2,532,10,Needs Attention
CUST-00016,Brian Ramirez,66,4,13977.11,3,2,1,321,6,Needs Attention
CUST-00017,Holly Wood,113,10,149152.07,2,4,4,244,10,At Risk
CUST-00018,Derek Zuniga,97,12,296475.57,3,4,5,345,12,Loyal Customers
CUST-00019,Lisa Jackson,585,2,32058.71,1,1,2,112,4,Lost Customers
CUST-00020,Carla Gray,22,1,20474.5,4,1,2,412,7,New Customers
CUST-00021,Margaret Hawkins DDS,93,5,141527.0,3,3,4,334,10,Loyal Customers
CUST-00022,Patty Perez,432,1,903.52,1,1,1,111,3,Lost Customers
CUST-00023,Ethan Adams,97,5,22511.170000000002,3,3,2,332,8,Needs Attention
CUST-00024,Tommy Walter,25,38,407179.65,4,5,5,455,14,Champions
CUST-00025,Matthew Foster,169,4,29320.38,2,2,2,222,6,Lost Customers
CUST-00026,Judy Baker,7,5,131229.76,5,3,4,534,12,Loyal Customers
CUST-00027,Justin Baker,70,11,436615.17,3,4,5,345,12,Loyal Customers
