Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Sub_Category,Quantity,Sales,Discount,Profit,Region,State,City,Payment_Mode,Shipping_Mode,Year,Month,Month_Name,Quarter,Day_of_Week,Profit_Margin,Unit_Price
ORD-022056,2023-04-18,CUST-02509,Daniel Reynolds,PROD-00230,Appliances Every Plus,Home & Kitchen,Appliances,2,13126.06,0.15,243.2,West,Maharashtra,Mumbai,Net Banking,Express,2023,4,Apr,2,Tuesday,0.0185,6563.03
ORD-005772,2023-11-01,CUST-03733,Mr. Joseph Thompson,PROD-00140,Footwear Economic Plus,Clothing,Footwear,2,6622.5,0.15,136.18,West,Rajasthan,Jaipur,UPI,Standard,2023,11,Nov,4,Wednesday,0.0206,3311.25
ORD-009049,2022-10-03,CUST-00972,Jenna Gamble,PROD-00264,Lighting Feel Classic,Home & Kitchen,Lighting,1,5130.1,0.2,-238.48,East,Bihar,Bhagalpur,Net Banking,Standard,2022,10,Oct,4,Monday,-0.0465,5130.1
ORD-007746,2022-06-03,CUST-03143,Kirk Moreno,PROD-00171,Binders Star Max,Office Supplies,Binders,3,3078.05,0.4,-555.71,East,West Bengal,Kolkata,Debit Card,Standard,2022,6,Jun,2,Friday,-0.1805,1026.02
ORD-026616,2023-10-15,CUST-01439,Lisa Nelson,PROD-00237,Decor Quickly Plus,Home & Kitchen,Decor,2,4022.66,0.45,-1021.22,North,Punjab,Amritsar,UPI,Standard,2023,10,Oct,4,Sunday,-0.2539,2011.33
ORD-005879,2022-12-25,CUST-03596,Stacie Sanford,PROD-00274,Fitness Old Plus,Sports,Fitness,2,13197.51,0.1,964.44,South,Karnataka,Bengaluru,Cash on Delivery,Standard,2022,12,Dec,4,Sunday,0.0731,6598.76
ORD-019443,2023-08-08,CUST-01900,Derek Frazier,PROD-00045,Accessories Customer Pro,Electronics,Accessories,1,16638.63,0.0,1697.07,East,West Bengal,Siliguri,Debit Card,Economy,2023,8,Aug,3,Tuesday,0.102,16638.63
ORD-014150,2022-10-08,CUST-00999,Edgar Miller,PROD-00226,Appliances Tell Elite,Home & Kitchen,Appliances,2,5491.48,0.15,409.04,North,Uttar Pradesh,Lucknow,Credit Card,Express,2022,10,Oct,4,Saturday,0.0745,2745.74
ORD-013642,2023-02-11,CUST-02091,Tara King,PROD-00066,Chairs Chance Plus,Furniture,Chairs,1,19543.13,0.0,1874.23,South,Tamil Nadu,Chennai,Wallet,Same Day,2023,2,Feb,1,Saturday,0.0959,19543.13
ORD-015248,2023-02-27,CUST-00697,Joseph Hill,PROD-00281,Fitness How Plus,Sports,Fitness,1,7153.04,0.0,1267.21,East,West Bengal,Howrah,Cash on Delivery,Same Day,2023,2,Feb,1,Monday,0.1772,7153.04
ORD-040499,2023-09-23,CUST-02757,Vanessa Zimmerman,PROD-00119,Women Maybe Classic,Clothing,Women,1,3602.47,0.0,727.43,North,Punjab,Amritsar,Credit Card,Standard,2023,9,Sep,3,Saturday,0.2019,3602.47
ORD-009058,2022-10-05,CUST-03523,Erica Huang,PROD-00322,Cycling Somebody Pro,Sports,Cycling,2,10444.3,0.1,719.04,North,Punjab,Chandigarh,Wallet,Same Day,2022,10,Oct,4,Wednesday,0.0688,5222.15
ORD-025813,2022-12-14,CUST-00296,John Young,PROD-00061,Chairs Game Elite,Furniture,Chairs,1,13620.43,0.05,717.53,South,Telangana,Warangal,Credit Card,Standard,2022,12,Dec,4,Wednesday,0.0527,13620.43
ORD-015634,2023-05-05,CUST-02572,Erin Ramirez,PROD-00284,Outdoor Production Pro,Sports,Outdoor,3,2917.43,0.05,451.46,North,Uttar Pradesh,Noida,UPI,Standard,2023,5,May,2,Friday,0.1547,972.48
ORD-038767,2023-01-03,CUST-01091,Vincent Reyes,PROD-00270,Fitness Candidate Plus,Sports,Fitness,1,1792.46,0.3,-118.32,North,Uttar Pradesh,Kanpur,Wallet,Express,2023,1,Jan,1,Tuesday,-0.066,1792.46
ORD-001163,2023-11-25,CUST-02151,Walter Hansen,PROD-00014,Mobiles History Max,Electronics,Mobiles,3,29235.86,0.3,-4192.48,South,Karnataka,Mysuru,UPI,Standard,2023,11,Nov,4,Saturday,-0.1434,9745.29
ORD-026464,2023-09-25,CUST-01036,Natalie Malone,PROD-00164,Paper Vote Max,Office Supplies,Paper,2,2316.5,0.15,264.45,East,West Bengal,Kolkata,Wallet,Same Day,2023,9,Sep,3,Monday,0.1142,1158.25
ORD-015745,2023-09-04,CUST-00067,Tracy House,PROD-00250,Storage Close Elite,Home & Kitchen,Storage,1,9780.16,0.05,1256.61,South,Tamil Nadu,Coimbatore,Net Banking,Standard,2023,9,Sep,3,Monday,0.1285,9780.16
ORD-035435,2022-05-18,CUST-03651,Matthew Andrade,PROD-00057,Chairs As Max,Furniture,Chairs,1,3771.94,0.1,205.03,West,Gujarat,Ahmedabad,Debit Card,Standard,2022,5,May,2,Wednesday,0.0544,3771.94
ORD-019650,2023-01-19,CUST-02897,Brian Hendricks,PROD-00177,Binders Character Plus,Office Supplies,Binders,2,3137.04,0.1,319.21,South,Karnataka,Bengaluru,Credit Card,Standard,2023,1,Jan,1,Thursday,0.1018,1568.52
ORD-022951,2023-07-07,CUST-00241,Andrew Avila,PROD-00190,Art Pressure Plus,Office Supplies,Art,3,1927.62,0.0,438.35,North,Delhi,Rohini,Debit Card,Express,2023,7,Jul,3,Friday,0.2274,642.54
ORD-000730,2023-12-04,CUST-01757,Alexis Rodriguez,PROD-00124,Women Participant Elite,Clothing,Women,1,601.11,0.15,56.71,South,Tamil Nadu,Coimbatore,Credit Card,Standard,2023,12,Dec,4,Monday,0.0943,601.11
ORD-002182,2022-04-26,CUST-01876,Abigail Baird,PROD-00270,Fitness Candidate Plus,Sports,Fitness,1,2304.59,0.1,207.81,West,Gujarat,Vadodara,Debit Card,Standard,2022,4,Apr,2,Tuesday,0.0902,2304.59
ORD-017386,2022-01-25,CUST-00284,Shelia Wallace,PROD-00265,Lighting Commercial Classic,Home & Kitchen,Lighting,4,33848.1,0.2,363.76,East,Odisha,Rourkela,Wallet,Standard,2022,1,Jan,1,Tuesday,0.0107,8462.02
ORD-004996,2023-08-13,CUST-00195,John Bishop,PROD-00256,Storage Write Max,Home & Kitchen,Storage,2,13717.78,0.0,2126.73,West,Rajasthan,Udaipur,Credit Card,Standard,2023,8,Aug,3,Sunday,0.155,6858.89
ORD-008519,2022-12-12,CUST-01662,Kurt Hancock,PROD-00289,Outdoor Could Classic,Sports,Outdoor,3,7519.11,0.0,1770.45,West,Rajasthan,Jodhpur,Debit Card,Express,2022,12,Dec,4,Monday,0.2355,2506.37
ORD-011125,2022-01-10,CUST-01185,Erica Wilson,PROD-00156,Winterwear Price Lite,Clothing,Winterwear,2,2391.2,0.0,490.34,North,Uttar Pradesh,Noida,UPI,Economy,2022,1,Jan,1,Monday,0.2051,1195.6
ORD-007558,2023-07-28,CUST-03168,Linda Rodriguez,PROD-00047,Accessories Policy Plus,Electronics,Accessories,4,78940.4,0.0,7557.15,North,Uttar Pradesh,Noida,Net Banking,Standard,2023,7,Jul,3,Friday,0.0957,19735.1
ORD-002650,2023-12-04,CUST-02139,Diane Byrd MD,PROD-00295,Outdoor Quickly Lite,Sports,Outdoor,5,5433.07,0.15,590.68,East,West Bengal,Siliguri,Credit Card,Standard,2023,12,Dec,4,Monday,0.1087,1086.61
ORD-035747,2022-04-11,CUST-03937,Ashley Norman,PROD-00130,Kids Care Lite,Clothing,Kids,5,10948.85,0.0,2724.48,East,Bihar,Patna,Credit Card,Standard,2022,4,Apr,2,Monday,0.2488,2189.77
ORD-006272,2023-03-02,CUST-00188,Samantha Garcia,PROD-00113,Men Try Lite,Clothing,Men,3,10658.66,0.05,2826.92,South,Karnataka,Mangaluru,Debit Card,Express,2023,3,Mar,1,Thursday,0.2652,3552.89
ORD-037612,2022-03-08,CUST-03587,Elizabeth Owens,PROD-00323,Apparel Here Max,Sports,Apparel,1,4845.17,0.1,426.14,West,Rajasthan,Jaipur,UPI,Standard,2022,3,Mar,1,Tuesday,0.088,4845.17
