Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Sub_Category,Quantity,Sales,Discount,Profit,Region,State,City,Payment_Mode,Shipping_Mode
ORD-022056,2023-04-18 00:00:00,CUST-02509,Daniel Reynolds,PROD-00230,Appliances Every Plus,Home & Kitchen,Appliances,2,13126.06,0.15,243.2,West,Maharashtra,Mumbai,Net Banking,Express
ORD-005772,11/01/2023,CUST-03733,Mr. Joseph Thompson,PROD-00140,Footwear Economic Plus,Clothing,Footwear,2,6622.5,0.15,136.18,West,Rajasthan,Jaipur,UPI,Standard
ORD-009049,2022-10-03 00:00:00,CUST-00972,Jenna Gamble,PROD-00264,Lighting Feel Classic,Home & Kitchen,Lighting,1,5130.1,0.2,-238.48,East,Bihar,Bhagalpur,Net Banking,Standard
ORD-007746,2022-06-03 00:00:00,CUST-03143,Kirk Moreno,PROD-00171,Binders Star Max,Office Supplies,Binders,3,3078.05,0.4,-555.71,East,West Bengal,Kolkata,Debit Card,Standard
ORD-026616,2023-10-15 00:00:00,CUST-01439,Lisa Nelson,PROD-00237,Decor Quickly Plus,Home & Kitchen,Decor,2,4022.66,0.45,-1021.22,North,Punjab,Amritsar,UPI,Standard
ORD-005879,2022-12-25 00:00:00,CUST-03596,Stacie Sanford,PROD-00274,Fitness Old Plus,Sports,Fitness,2,13197.51,0.1,964.44,South,Karnataka,Bengaluru,Cash on Delivery,Standard
ORD-019443,2023-08-08 00:00:00,CUST-01900,Derek Frazier,PROD-00045,Accessories Customer Pro,Electronics,Accessories,1,16638.63,0.0,1697.07, East ,West Bengal,Siliguri,Debit Card,Economy
ORD-014150,2022-10-08 00:00:00,CUST-00999,Edgar Miller,PROD-00226,Appliances Tell Elite,Home & Kitchen,Appliances,2,5491.48,0.15,409.04,North,Uttar Pradesh,Lucknow,credit_card,Express
ORD-013642,2023-02-11 00:00:00,CUST-02091,Tara King,PROD-00066,Chairs Chance Plus,Furniture,Chairs,1,19543.13,0.0,1874.23,South,Tamil Nadu,Chennai,Wallet,Same Day
ORD-015248,2023-02-27 00:00:00,CUST-00697,Joseph Hill,PROD-00281,Fitness How Plus,Sports,Fitness,1,7153.04,0.0,1267.21,East,West Bengal,Howrah,Cash on Delivery,Same Day
ORD-040499,2023-09-23 00:00:00,CUST-02757,Vanessa Zimmerman,PROD-00119,Women Maybe Classic,Clothing,Women,1,3602.47,0.0,727.43,North,Punjab,Amritsar,Credit Card,Standard
ORD-009058,2022-10-05 00:00:00,CUST-03523,Erica Huang,PROD-00322,Cycling Somebody Pro,Sports,Cycling,2,10444.3,0.1,719.04,North,Punjab,Chandigarh,Wallet,Same Day
ORD-025813,2022-12-14 00:00:00,CUST-00296,John Young,PROD-00061,Chairs Game Elite,Furniture,Chairs,1,13620.43,0.05,717.53,South,Telangana,Warangal,Credit Card,Standard
ORD-015634,2023-05-05 00:00:00,CUST-02572,Erin Ramirez,PROD-00284,Outdoor Production Pro,Sports,Outdoor,3,2917.43,0.05,451.46,North,Uttar Pradesh,Noida,UPI,Standard
ORD-038767,2023-01-03 00:00:00,CUST-01091,Vincent Reyes,PROD-00270,Fitness Candidate Plus,Sports,Fitness,1,1792.46,0.3,-118.32,North,Uttar Pradesh,Kanpur,Wallet,Express
ORD-001163,2023-11-25 00:00:00,CUST-02151,Walter Hansen,PROD-00014,Mobiles History Max,Electronics,Mobiles,3,29235.86,0.3,-4192.48,South,Karnataka,Mysuru,UPI,Standard
ORD-026464,2023-09-25 00:00:00,CUST-01036,Natalie Malone,PROD-00164,Paper Vote Max,Office Supplies,Paper,2,2316.5,0.15,264.45,East,West Bengal,Kolkata,Wallet,Same Day
ORD-015745,09/04/2023,CUST-00067,Tracy House,PROD-00250,Storage Close Elite,Home & Kitchen,Storage,1,9780.16,0.05,1256.61,South,Tamil Nadu,Coimbatore,Net Banking,Standard
ORD-035435,2022-05-18 00:00:00,CUST-03651,Matthew Andrade,PROD-00057,Chairs As Max,Furniture,Chairs,1,3771.94,0.1,205.03,West,Gujarat,Ahmedabad,Debit Card,Standard
ORD-019650,2023-01-19 00:00:00,CUST-02897,Brian Hendricks,PROD-00177,Binders Character Plus,Office Supplies,Binders,2,3137.04,0.1,319.21,South,Karnataka,Bengaluru,Credit Card,Standard
ORD-022951,2023-07-07 00:00:00,CUST-00241,Andrew Avila,PROD-00190,Art Pressure Plus,Office Supplies,Art,3,1927.62,0.0,438.35,North,Delhi,Rohini,Debit Card,Express
ORD-000730,2023-12-04 00:00:00,CUST-01757,Alexis Rodriguez,PROD-00124,Women Participant Elite,Clothing,Women,1,601.11,0.15,56.71,South,Tamil Nadu,Coimbatore,Credit Card,Standard
ORD-002182,2022-04-26 00:00:00,CUST-01876,Abigail Baird,PROD-00270,Fitness Candidate Plus,Sports,Fitness,1,2304.59,0.1,207.81,West,Gujarat,Vadodara,Debit Card,Standard
ORD-017386,2022-01-25 00:00:00,CUST-00284,Shelia Wallace,PROD-00265,Lighting Commercial Classic,Home & Kitchen,Lighting,4,33848.1,0.2,363.76,East,Odisha,Rourkela,Wallet,Standard
ORD-004996,2023-08-13 00:00:00,CUST-00195,John Bishop,PROD-00256,Storage Write Max,Home & Kitchen,Storage,2,13717.78,0.0,2126.73,West,Rajasthan,Udaipur,Credit Card,Standard
ORD-008519,2022-12-12 00:00:00,CUST-01662,Kurt Hancock,PROD-00289,Outdoor Could Classic,Sports,Outdoor,3,7519.11,0.0,1770.45,West,Rajasthan,Jodhpur,Debit Card,Express
